Date,Code
2/11/2020 3:18:54 PM,Alarm 5.12 UOADCONV TOPDRIVER2 SCREW NOT
2/11/2020 3:18:54 PM,Alarm 5.11 IMOADCONV TOPDRIVER1 SCREW NOT
2/11/2020 3:18:06 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT
2/11/2020 3:18:06 PM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT
2/11/2020 3:08:18 PM,Alarm 1.2 FENCE SAFETY NOT OK as
2/11/2020 3:05:54 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:04:32 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:03:46 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:02:32 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 3:02:17 PM,Alarm 3.1 LIFT SIDE CLAMP NOT ADVANCED
2/11/2020 3:01:07 PM,Alarm 1.13 VSD 234 FAULT
2/11/2020 3:01:07 PM,Alarm 1.12 VSD 227 FAULT
2/11/2020 3:00:21 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 2:59:58 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 2:31:37 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 2:31:20 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 2:26:16 PM,Alarm 1.13 VSD 234 FAULT
2/11/2020 2:26:16 PM,Alarm 1.12 VSD 227 FAULT
2/11/2020 2:25:32 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 2:22:17 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 2:15:31 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 2:14:46 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 2:14:46 PM,Alarm 2.21 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 1:10:11 PM,Alarm 1.2 FENCE SUETY NOT OK
2/11/2020 1:50:55 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 1:28:51 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 1:27:53 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 1:13:45 PM,Alarm 1.18 DISCHARGE LIGHT CURTAIN NOT OK
2/11/2020 1:13:45 PM,Alarm 1.1 ESTOP SAFETY NOT OK
2/11/2020 12:07:53 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 12:07:34 PM,Alarm 3.5 LIFT TOP CLAMP NOT ADVANCED
2/11/2020 11:01:01 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 11:01:01 AM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/11/2020 11:00:53 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 11:00:53 AM,Alarm 5.11 UNLOADCONV TOPDRIVERI SCREW NOT FED
2/11/2020 10:59:40 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 10:58:40 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 10:58:03 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/11/2020 10:56:40 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 10:48:48 AM,Alarm 5.11 UNLOADCONV TOPDRIVER I SCREW NOT FED
2/11/2020 10:34:42 AM,Alarm 1.2 FENCE SAFETY NOT OK.
2/11/2020 10:34:19 AM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/11/2020 10:09:27 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/11/2020 10:08:08 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/11/2020 3:16:23 PM,Alarm 4.1 UNLOAD ROBOT TOOLING NOT ADVANCED
2/11/2020 2:52:43 PM,Alarm 4.1 UNLOAD ROBOT TOOLING NOT ADVANCED
2/11/2020 2:52:28 PM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/11/2020 2:51:30 PM,Alarm 4.1 UNLOAD ROBOT TOOLING NOT ADVANCED
2/11/2020 2:50:52 PM,Alarm 1.13 VSD 234 FAULT
2/11/2020 2:50:52 PM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 2:44:42 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 2:40:41 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 2:36:15 PM,Alarm 2.10 WRAPPER ROBOT TOOLING NOT ADVANCED
2/11/2020 2:31:44 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 2:31:44 PM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 2:22:28 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 2:15:45 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 2:13:12 PM,Alarm 3.9 LIFT TOP VAC CARRIAGE NOT ADVANCED
2/11/2020 1:42:09 PM,Alarm 2.21 ZPAN & E-TUBE OPERATOR INSTALL ERROR
2/11/2020 1:38:26 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/11/2020 1:36:39 PM,Alarm 1.13 VSD 234 FAULT
2/11/2020 1:11:35 PM,Alarm 2.21 ZPAN & E-TUBE OPERATOR INSTALL ERROR
2/11/2020 12:52:52 PM,Alarm 1.12 VSD 227 FAULT
2/11/2020 12:52:52 PM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 12:51:27 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 12.36:39 PM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 12:34:03 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 12:31:31 PM,Alarm 3.11 LIFT TOP VAC NOT ADVANCED
2/11/2020 12:31:31 PM,Alarm 3.9 LIFT TOP VAC CARRIAGE NOT ADVANCED
2/11/2020 12:29:46 PM,Alarm 2.10 WRAPPER ROBOT TOOLING NOT ADVANCED
2/11/2020 12:07:59 PM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 12:07:59 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 12:01:18 PM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 12:01:18 PM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 11:24:46 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 11:24:46 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 11:24:14 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 11:24:14 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 11:09:20 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 11:09:20 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 11:09:03 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/11/2020 11:09:03 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/11/2020 11:08:34 AM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/11/2020 11:08:18 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/11/2020 11:08:18 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/11/2020 11:07:49 AM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/11/2020 11:07:33 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/11/2020 11:07:33 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/11/2020 11:07:05 AM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/11/2020 11:06:48 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/11/2020 11:06:48 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/11/2020 11:06:20 AM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/11/2020 11:06:02 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/11/2020 11:06:02 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/11/2020 10:37:32 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/11/2020 10:26:06 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 10:26:06 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 10:21:45 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 10:21:45 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 8:23:02 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 8:20:28 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/11/2020 8:19:28 AM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/11/2020 8:01:20 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 8:01:20 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 7:50:52 AM,Alarm 1.10 UNLOAD ROBOT FAULT
2/11/2020 7:50:52 AM,Alarm 1.7 WRAPPER ROBOT FAULT
2/11/2020 7:32:33 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/11/2020 7:17:01 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/11/2020 7:14:31 AM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/11/2020 7:32:33 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW ANDOVTA FED
2/11/2020 7:17:01 AM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/11/2020 7:14:31 AM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/10/2020 10:42:12 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/10/2020 9:55:08 PM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/10/2020 9:45:05 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/10/2020 9:45:05 PM,Alarm 5.1 LIFT TOPDRIVER1 SCREW NOT FED
2/10/2020 9:44:20 PM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/10/2020 9:44:20 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/10/2020 9:43:34 PM,Alarm 5.1 LIFT TOPDRIVERI SCREW NOT FED
2/10/2020 9:43:34 PM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/10/2020 9:42:39 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/10/2020 8:25:51 PM,Alarm 5.1 LIFT TOPDRIVERI SCREW NOT FED
2/10/2020 8:25:51 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/10/2020 8:24:38 PM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/10/2020 8:05:19 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 8:05:19 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:59:48 PM,Alarm 2.25 LIFT LINER LOCATE NOT ADVANCED
2/10/2020 7:50:56 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:29:20 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:25:26 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:21:00 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:59:48 PM,Alarm 5.2 LIFT TOPDRIVER2 SCREW NOT FED
2/10/2020 7:50:56 PM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/10/2020 7:29:20 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:25:26 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:21:00 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:18:37 PM,Alarm 4.19 UNLOAD CONV CLAMP NOT RETURNED
2/10/2020 7:17:48 PM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
2/10/2020 7:16:43 PM,Alarm 4.18 UNLOAD CONV CLAMP NOT ADVANCED
