Date,Code
2/13/2020 1:51:21 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 1:50:24 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 1:43:34 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 1:42:56 PM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 12:01:03 PM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 11:59:54 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 11:57:59 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 11:56:26 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 11:56:20 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/13/2020 11:56:20 AM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/13/2020 11:55:05 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/13/2020 11:55:05 AM,Alarm 5.11 UNLOADCONV TOPDRIVERI SCREW NOT FED
2/13/2020 11:33:53 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 11:33:39 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 11:29:20 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 11:29:06 AM,Alarm 2.21 LIFT CYCLE ZPAN NOT CLEAR
2/13/2020 11:20:00 AM,Alarm 1.2 FENCE SAFETY NOT OK
2/13/2020 11:56:20 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/13/2020 11:56:20 AM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/13/2020 11:55:05 AM,Alarm 5.12 UNLOADCONV TOPDRIVER2 SCREW NOT FED
2/13/2020 11:55:05 AM,Alarm 5.11 UNLOADCONV TOPDRIVER1 SCREW NOT FED
2/13/2020 11:33:53 AM,Alarm 1.2 FENCE SAFETY NOT OK
